TICKER	CCAT
FHBA Comdty	101040
FHBAW Comdty	10105010
FHDA Comdty	10101085
FHTA Index	503080
FHWA Index	503080
FHYA Comdty	25401033
FIA Index	503080
FIAA Comdty	10105020
FIBA Comdty	10105020
FIBAW Comdty	10105010
FICA Comdty	10105020
FIEA Index	503080
FILA Comdty	101010
FIPAW Comdty	10105020
FIRA Index	503080
FIYA Index	503080
FJCA Comdty	101010
FJCA Index	503080
FJDA Index	503080
FJIA Index	503080
FJLA Index	503080
FJOA Index	503080
FJRA Index	503080
FJSA Comdty	10102050
FJTA Index	503080
FJWA Index	503080
FJYA Index	503080
FKA Comdty	101040
FKBA Index	503080
FKDA Curncy	501010
FKOA Curncy	501010
FKPA Curncy	501010
FKSA Index	503080
FKYA Comdty	502020
FLBAQ Comdty	10105010
FLLA Comdty	502030
FLOA Comdty	20209510
FLPA Index	503080
FLRA Comdty	10102030
FLTA Comdty	40101030
FMAA Index	503080
FMCA Index	503080
FMDA Index	503020
FMIA Comdty	401050
FMIA Index	503080
FMLA Index	503080
FMOA Index	503080
FMPA Comdty	10102050
FMPA Index	503080
FMSA Comdty	10103050
FMTA Index	503080
FMWA Index	503080
FMYA Comdty	10102050
FMYA Index	503080
FNA Comdty	101020
FNAA Comdty	101020
FNAA Index	503080
FNCA Index	503080
FNDA Comdty	10105010
FNEA Index	503080
FNLA Index	503080
FNOA Comdty	10105010
FNOA Index	503080
FNPA Comdty	10105010
FNPA Index	503080
FNRA Comdty	10105010
FNSA Index	503080
FNTA Comdty	101020
FNYA Index	503080
FOA Comdty	10103050
FOA Curncy	501010
FOEA Comdty	10105010
FOSA Comdty	10103050
FOWA Comdty	10103050
FPA Comdty	502020
FPAA Comdty	10105010
FPBAW Comdty	10105010
FPBAY Comdty	10105010
FPCA Comdty	10103030
FPOA Comdty	20253110
FPOA Index	503080
FPPA Index	503080
FPRA Comdty	10105010
FPSA Comdty	10103080
FPYA Comdty	10105010
FQCA Comdty	101040
FQRA Comdty	10105010
FQRA Index	503080
FRCA Comdty	502032
FREA Comdty	303030
FRLA Comdty	40101020
FROA Comdty	502032
FRPAW Comdty	10105010
FRTA Comdty	40101020
FRYA Comdty	401020
FRYAY Comdty	10105020
FSA Curncy	501010
FSAA Comdty	103535
